,name,number,term,startsTime,,,,name,number,term,startsTime
30601,swordMan,1,1,1,,,30601,swordMan,1,1,1
30602,swordMan_solid,1,1,1,,,30602,swordMan_solid,1,1,1
30603,swordMan_fast,1,1,1,,,30603,swordMan_fast,1,1,1
30604,swordMan_hero,1,1,1,,,30604,swordMan_hero,1,1,1
30605,musketeer,1,1,1,,,30605,musketeer,1,1,1
30606,musketeer_solid,1,1,1,,,30606,musketeer_solid,1,1,1
30607,musketeer_fast,1,1,1,,,30607,musketeer_fast,1,1,1
30608,musketeer_hero,1,1,1,,,30608,musketeer_hero,1,1,1
30609,heavyArmor,1,1,1,,,30609,heavyArmor,1,4,1
30610,heavyArmor_solid,1,1,1,,,30610,heavyArmor_solid,1,1,1
30611,heavyArmor_fast,1,1,1,,,30611,heavyArmor_fast,1,1,1
30612,heavyArmor_hero,1,1,1,,,30612,heavyArmor_hero,1,1,1
30613,griffin,1,1,1,,,30613,griffin,1,1,1
30614,griffin_solid,1,1,1,,,30614,griffin_solid,1,1,1
30615,griffin_fast,1,1,1,,,30615,griffin_fast,1,1,1
30616,griffin_hero,1,1,1,,,30616,griffin_hero,1,1,1
30617,bombCarrier,1,1,1,,,30617,bombCarrier,1,1,1
30618,bombCarrier_solid,1,1,1,,,30618,bombCarrier_solid,1,1,1
30619,bombCarrier_fast,1,1,1,,,30619,bombCarrier_fast,1,1,1
30620,bombCarrier_hero,1,1,1,,,30620,bombCarrier_hero,1,1,1
30621,boss1,0,0,0,,,30621,boss1,0,0,0
30622,boss2,0,0,0,,,30622,boss2,0,0,0
